"Gene_symbol"	"Entrez_ID"	"Value_count"	"hgnc_symbol"	"ensembl_gene_id"	"chromosome_name"
"310"	"ZNF208"	7757	274	"ZNF208"	"ENSG00000160321"	"19"
"311"	"C9orf44"	158314	271	NA	NA	NA
"312"	"GRK4"	2868	271	"GRK4"	"ENSG00000125388"	"4"
"313"	"ZNF682"	91120	271	"ZNF682"	"ENSG00000197124"	"19"
"314"	"CHPT1"	56994	271	"CHPT1"	"ENSG00000111666"	"12"
"315"	"ALS2CR12"	130540	271	"FLACC1"	"ENSG00000155749"	"2"
"316"	"NCKIPSD"	51517	270	"NCKIPSD"	"ENSG00000213672"	"3"
"317"	"TIMD4"	91937	268	"TIMD4"	"ENSG00000145850"	"5"
"318"	"CENPC1"	1060	268	"CENPC"	"ENSG00000145241"	"4"
"319"	"ADH1C"	126	268	"ADH1C"	"ENSG00000248144"	"4"
"320"	"FBXO30"	84085	267	"FBXO30"	"ENSG00000118496"	"6"
"321"	"LEKR1"	389170	267	"LEKR1"	"ENSG00000197980"	"3"
"322"	"LOC338651"	338651	267	"KRTAP5-AS1"	"ENSG00000233930"	"11"
"323"	"FAM71F2"	346653	267	"FAM71F2"	"ENSG00000205085"	"7"
"324"	"TRIM4"	89122	264	"TRIM4"	"ENSG00000146833"	"7"
"325"	"SLC41A3"	54946	264	"SLC41A3"	"ENSG00000114544"	"3"
"326"	"TTC32"	130502	264	"TTC32"	"ENSG00000183891"	"2"
"327"	"LOC253724"	253724	264	NA	NA	NA
"328"	"KLRAQ1"	129285	264	"PPP1R21"	"ENSG00000162869"	"2"
"329"	"GCC2"	9648	263	"GCC2"	"ENSG00000135968"	"2"
"330"	"PI4KAP2"	375133	263	NA	NA	NA
"331"	"VCAM1"	7412	263	"VCAM1"	"ENSG00000162692"	"1"
"332"	"AKAP3"	10566	261	"AKAP3"	"ENSG00000111254"	"12"
"333"	"PROCR"	10544	261	"PROCR"	"ENSG00000101000"	"20"
"334"	"LOC100270746"	100270746	261	NA	NA	NA
"335"	"KRTCAP3"	200634	261	"KRTCAP3"	"ENSG00000157992"	"2"
"336"	"CPA5"	93979	261	"CPA5"	"ENSG00000158525"	"7"
"337"	"KATNAL2"	83473	260	"KATNAL2"	"ENSG00000167216"	"18"
"338"	"ATP6AP1L"	92270	260	"ATP6AP1L"	"ENSG00000205464"	"5"
"339"	"PPP6C"	5537	260	"PPP6C"	"ENSG00000119414"	"9"
"340"	"TDGF1"	6997	259	"TDGF1"	"ENSG00000241186"	"3"
"341"	"ZNF709"	163051	258	"ZNF709"	"ENSG00000242852"	"19"
"342"	"C2orf84"	653140	257	"FAM228A"	"ENSG00000186453"	"2"
"343"	"ZNF561"	93134	257	"ZNF561"	"ENSG00000171469"	"19"
"344"	"FAM154B"	283726	256	"SAXO2"	"ENSG00000188659"	"15"
"345"	"AKD1"	221264	256	"AK9"	"ENSG00000155085"	"6"
"346"	"ALOX5"	240	255	"ALOX5"	"ENSG00000012779"	"10"
"347"	"MRPL39"	54148	255	"MRPL39"	"ENSG00000154719"	"21"
"348"	"SFTA3"	253970	254	""	"ENSG00000257520"	"14"
"349"	"GABRA2"	2555	254	"GABRA2"	"ENSG00000151834"	"4"
