Gene_symbol	CTTN	FBLN2	FLNA	ARHGEF9	SLC39A14	ATP6V1C2	ISLR	MYH11	SRI	UGP2	IL1R2	HKDC1	CD44	Cancer
Gene_ensembl_id	ENSG00000085733	ENSG00000163520	ENSG00000196924	ENSG00000131089	ENSG00000104635	ENSG00000143882	ENSG00000129009	ENSG00000133392	ENSG00000075142	ENSG00000169764	ENSG00000115590	ENSG00000156510	ENSG00000026508	Cancer
Sample_ID														
TCGA-AA-3697-01A-01R-1723-07	47.527000162200004	2.44557408636	24.6538220154	2.8402552688700005	26.917908741799998	2.25377550832	6.30222366375	2.50292885039	36.3503795194	16.9792864864	2.19111479413	29.9099968502	30.942373749699996	1
TCGA-G4-6586-01A-11R-1774-07	79.2155292634	1.00201267051	37.3249573656	2.2205667848900004	16.8961002405	0.794658486743	4.85048965829	0.4143155576250001	16.5355626638	12.6622285633	4.94591265245	34.5344812041	25.6393881559	1
TCGA-A6-3809-01B-04R-A277-07	20.5249327997	1.72808950624	12.400532972899999	1.2214801066299998	16.9899465223	0.554168446284	8.33491632064	2.10311994383	8.04917383062	11.0203279226	1.86680391227	3.97908298242	64.9490929321	1
TCGA-A6-6650-01A-11R-1774-07	46.1904463575	0.8547016658859999	33.3318246046	3.49971339681	14.663976368299998	4.23882893446	4.18473855898	4.79864403744	57.78639687840001	18.736316261	1.12705209481	20.8706672256	24.012688078000004	1
TCGA-AZ-4616-01A-21R-1839-07	45.1154686732	4.01425898256	63.4302763436	2.12023761771	26.1567795824	1.60093163665	19.7742054975	4.61563438715	19.6898712869	14.4220036096	1.93622518699	32.8207486362	41.7765571006	1
TCGA-D5-6928-01A-11R-1928-07	27.8685625615	39.0852933371	117.34966695700001	1.8852599395900005	25.9023052111	0.73127953235	43.7383272375	18.8965485025	17.6201184609	11.6962195092	2.00847709881	11.707573522	35.1893641984	1
TCGA-AA-A02J-01A-01R-A00A-07	30.8380003268	1.169286126	18.0048317318	7.131277215710001	17.4261025675	7.31497319749	6.57545679613	0.913806002311	44.145485211099995	12.536568132000001	0.156941234856	27.5640035098	29.3442799811	1
TCGA-D5-6538-01A-11R-1723-07	27.328692634099998	1.14157623594	41.0274333296	3.90529304184	39.8459351444	2.6515705367099995	2.34057033036	13.877332465599999	23.1047672696	16.5966241726	0.727042304376	24.7468642743	51.47039132729999	1
TCGA-NH-A6GB-01A-11R-A37K-07	60.9871317987	4.418776336830001	27.0063010973	1.95921967706	30.658655115100004	1.62295420122	7.42358336093	1.07200375093	22.511891214699997	9.86991570826	0.840406455052	38.943020088800004	17.3877517126	1
TCGA-A6-2682-01A-01R-1410-07	36.4050840525	12.515467016199999	69.87997206520001	2.89263968394	23.605384241	3.06066754133	24.554011777	7.55796237211	63.330246325699996	14.992524948699998	2.68991144232	20.5815853101	24.739033710799998	1
TCGA-AA-A02Y-01A-43R-A32Y-07	35.5153869882	0.0863366139436	4.46927862771	4.11422864525	24.6331846534	0.516244437008	0.628929339696	0.183529636795	27.6893962298	12.0392996812	0.523142786123	27.1689021	45.7370368812	1
TCGA-AA-3850-01A-01R-1022-07	35.8123891523	3.1744534960900004	45.63077093020001	2.18636221268	25.648069996100002	1.8977403484	10.9286305685	6.7434146485	37.833295098	25.280345480700003	4.48786658222	16.8441067013	31.570760884000002	1
TCGA-CK-6747-01A-11R-1839-07	34.6756825724	2.02660623871	32.443720305700005	2.47669309162	24.6458504161	4.00159284645	13.8576442353	6.75903958362	53.8431104463	20.2268704582	11.0438456682	21.3617053559	23.3982595289	1
TCGA-A6-6782-01A-11R-1839-07	35.069184519000004	15.948798310499999	52.5650511451	3.30515072622	20.886037196300002	4.6210313431	66.5037533167	4.74199645699	48.866476499399994	15.6132193778	1.10403170488	13.8309547409	29.1118537377	1
TCGA-CM-5860-01A-01R-1653-07	22.7714315327	24.2618293046	50.2142219168	2.8886066753400006	18.5184575308	2.04163261312	58.9953542504	2.91063476957	51.410541493900006	16.1061847252	0.664312863472	43.1649111067	40.830424146300004	1
